item	name	description	type	category	subcategory	label
http://www.wikidata.org/entity/Q112483026	Members of the Australian House of Representatives, 2022–2025	Wikimedia list article	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q109678442	Leader of the National Party of Australia in New South Wales	NSW party leader	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q111193712	Deputy Leader of the Government in the Legislative Council	Government office in New South Wales, Australia	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q65043021	Members of the Australian House of Representatives, 2019–2022	Wikimedia list article	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q108855783	Leader of the Australian Labor Party in New South Wales	New South Wales branch leader	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q23073678	Leader of the Government in the Legislative Council	Government office in the state of New South Wales, Australia	entity	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q31754863	Intendant of Montevideo	head of government of Montevideo	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q16243848	Big man	corrupt, autocratic leader	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q16843760	Mayor of Lincoln, England	first citizen of the city of Lincoln	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q19772737	political candidate	candidate in an election for political office	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q42417559	lead candidate	lead candidate in an election	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q15686806	senator	member of a senate, usually the upper house of a legislature	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q18206482	Deputy President of the Nigerian Senate	second highest-ranking member of the Senate of Nigeria	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q6869252	minority leader	legislative political position or the leader of the minority party in a legislative body	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q15618993	President of Egypt	head of state and government of Egypt	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q8025244	wingnut	political extremist	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q7450649	senior advisor	title in political or economic field	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q11107510	shumishi	position	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q10264925	demagogue	politician or orator who panders to fears and emotions of the public	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q3382119	sub-prefect	senior civil servant in France	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q4887021	Bendahara	head of the nobility	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q4345946	party organizer	position in some political parties in charge of the establishing a party organization in a certain locality	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q3430775	political boss	person who controls a unit of a political party, although they might not hold political office	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q4175034	legislator	member of a legislature	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q2937507	Capitoul	former municipal council of Toulouse, France	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q5354399	county magistrate	public office in imperial China	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q5261098	deputy party leader	second-in-command of a political party	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q5068086	Chairman of Committees	elected position of the New Zealand Legislative Council	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q3477182	Second Spouse	spouse of a vice president or a lieutenant governor	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q2915459	Lords Spiritual	bishops of the Church of England who sit in the House of Lords	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q2587924	posadnik	mayor in some East Slavic towns	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q2513785	Kuraka	official of the Inca Empire who held the role of magistrate	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q2409583	kingmaker	person or group that has great influence in a royal or political succession	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q2285706	head of government	chief officer of the executive branch of a government	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q1688932	jiedushi	regional military governor function	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q1553195	party leader	leading official of a political party	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q1543753	Éminence grise	powerful decision-maker or adviser "behind the scenes"	concept	politics	politician	cultural representative
http://www.wikidata.org/entity/Q1500610	community leader	person perceived to represent a community	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q1285463	prefect	French state's representative in a department or region	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q599898	cacique	Hispanic term for indigenous American chief	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q836971	party secretary	senior official within a political party with responsibility for the organizational and daily political work	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q648198	political strongman	authoritarian political leader	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q845929	pretender	someone who claims to be rightful holder of a throne that is vacant or held by another	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q579677	President of Ukraine	head of state of Ukraine	concept	politics	politician	cultural exclusive
http://www.wikidata.org/entity/Q373085	chancellor	executive position in a government	concept	politics	politician	cultural representative
http://www.wikidata.org/entity/Q372436	statesperson	civil servant or politician in high government offices	concept	politics	politician	cultural agnostic
http://www.wikidata.org/entity/Q371909	prefect	magisterial title	concept	politics	politician	cultural representative
http://www.wikidata.org/entity/Q239951	Meretz	Israeli political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q9626	Conservative Party	centre-right to right-wing political party in the United Kingdom	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q82591	National Liberation Party	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q81556	Homeland Union – Lithuanian Christian Democrats	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q82256	Golden Dawn	criminal organization and far-right neo-nazi political party in Greece	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q9624	Liberal Democrats	centrist political party in the United Kingdom	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q8794	Justice First	political party in Venezuela	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q4800	New Democratic Power – FORCA	Albanian minority political party in Montenegro	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q5291	Pirate Party	political party in France	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q76382	Sinn Féin	left-wing nationalist political party in Ireland	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q80719	National Union Party	1864–1868 Republican and Unionist political alliance	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q72920	list of political parties in Colombia	Wikimedia list article	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q75660	Liberal Regenerator Party	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q70738	Regional Party of Lithuania and White Ruthenia	defunct political parties in Belarus	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q69119	All Jammu and Kashmir Muslim Conference	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q289078	ADN	Political party in Ecuador	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q289166	German Socialist Party	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q290118	Party for Bosnia and Herzegovina	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q289193	Socialist Alternative	American political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q290031	Hungarian Coalition	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q289893	Party for Democratic Reforms	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q288521	Homeland Party	political party in Libya	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q288838	ACT New Zealand	New Zealand political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q290441	Ukrainian Democratic Alliance for Reform	Ukrainian political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q234277	Communist Party of India (Marxist)	left-wing political party in India	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q169252	Socialist Initiative	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q172659	German National Movement in Liechtenstein	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q169220	I Don't Pay Movement	political party in Greece	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q169208	Union of the Workers of Slovakia	political party in Slovakia	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q169225	Progressive Party	political party in Greece	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q170972	Socialist Party	French political party (1969–present)	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q169228	Christian Democracy (Greece)	political party in Greece	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q169223	Party of Democratic Socialism	political party in Greece	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q223898	All India Muslim League	political party within the Indian Empire	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q232595	Liberal Democratic Party	Japanese political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q226085	Popular Orthodox Rally	Greek right-wing populist political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q231745	Black Front	Dutch fascist movement active before the Second World War	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q60518	Barisan Sosialis	Defunct Singaporean political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q60172	Reformed Political Party	Dutch political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q59938	Moro National Liberation Front	political group in the Philippines	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q60668	Fatherland for All	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q63755	Democratic Labour Party of Lithuania	social democratic political party in Lithuania	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q64780	Alash Party	political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q4362	Social Democratic Party of Lithuania	social democratic political party in Lithuania	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q4266	Party of Regions	Russophone political party of Ukraine	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q3173	Green Alliance–The People's Party	Russian political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q4282	Progressive Republican Party	political party in Spain (1880–1903)	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q4396	All-Ukrainian Union "Svoboda"	far-right Ukrainian nationalist political party	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q223153	New Democracy	political party in Greece	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q222897	SYRIZA	political party in Greece	entity	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q66451430	Democratic parties of China	Member parties of Chinese United Front except Chinese Communist Party.	concept	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q100274852	political party in Ukraine	overview of political parties in Ukraine	concept	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q56390587	fake party	a political party registered for the sole purpose of receiving state funding in Hungarian politics	concept	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q106153896	Microparty	term for a small political party	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q45093720	Business-firm party	political party centered on its leader	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q28924267	Ministerialists and Oppositionists	former political groupings in Western Australia	concept	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q17052908	party of power	political party that has a close relationship with the executive branch of government such that the party appears to function as an extension of the executive rather than as an autonomous political organization	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q7889581	ethnic party	political party that represents the interests of minorities	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q7834799	transpartisanship	school of political thought which accepts the validity of truths across a range of political perspectives and seeks to synthesize them into an inclusive, pragmatic container beyond typical political dualities	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q7379375	rump party	political party that is formed by the remaining body of supporters and leaders who do not support a breakaway group who merge with or form another new party	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q7249587	proletarian parties in Japan, 1925–1932	list of proletarian political parties in Japan (1925-1932)	concept	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q6957275	Nacionalni stroj	Neo-nazi organisation in Servia	concept	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q5510268	Fusion Party	Wikimedia disambiguation page	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q7834723	transnational political party	Political party with members in multiple countries	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q5326659	Early Greek party	Political parties	concept	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q5032604	cannabis political party	one of many political parties advocating the single issue of cannabis legalization	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q6738353	major party	political party that holds substantial influence in the governing of a country	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q5361973	elite party	type of political party	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q5163108	Conservative parties in Newfoundland	former Newfoundland political party	concept	politics	political party	cultural exclusive
http://www.wikidata.org/entity/Q3778417	green party	type of political party based on the principles of green politics, such as environmentalism, social justice, and nonviolence	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q2707676	testimonial party	type of political party	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q3528251	third party	party other than one of the two dominant ones in a two-party political system	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q3664326	Pirate Party	type of political party	concept	politics	political party	cultural representative
http://www.wikidata.org/entity/Q2439061	dominant-party system	continuous dominance of a single political party in elections	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q3282509	Nordic agrarian parties	centrist political parties in Nordic countries which traditionally catered to farmers	concept	politics	political party	cultural representative
http://www.wikidata.org/entity/Q1938856	World Mizrachi	World religious zionist organization	concept	politics	political party	cultural representative
http://www.wikidata.org/entity/Q1558113	anti-establishment	opposition to the conventional social, political, and economic principles of a society	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q1182201	Socialist Party	index of articles associated with the same name	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q1112464	Humanist Party	type of political party	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q1030814	big tent	political party with a balanced program (or one containing elements of ideologies from across the political spectrum) intended to be competitive among all sections of society	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q337942	single-issue party	political campaigning based on one essential policy area	concept	politics	political party	cultural agnostic
http://www.wikidata.org/entity/Q5260216	department of corrections	a type of government agency, found in many jurisdictions, responsible for managing prisons and parole/probation services	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q5097775	Child Protective Services	governmental agency in many states of the United States responsible for providing child protection	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q4817887	extraordinary organ	type of Japanese government organization	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q3756431	cabinet department	department or ministry that directly supports the work of the government's central executive office	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q5759940	highway authority	organization	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q5189476	Crown agency	state-controlled enterprises in some states of the British Commonwealth	concept	politics	government agency	cultural representative
http://www.wikidata.org/entity/Q5260434	department of parks and recreation	governmental organization that overseas public parks and recreational public works	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q3349603	Office des professions du Québec	Québec governmental organism ruling 46 professionnal Orders in Québec.	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q5779171	securities commission	government agency responsible for financial regulation of securities	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q5520196	gaming control board	government agency	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q3268553	police authority	UK public authority responsible for overseeing the operations of a police force	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q3242920	data protection authority	public authority that monitor and supervise, through investigative and corrective powers, the application of the data protection law	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q5178334	Court of Arbitration	court in News South Wales, Australia that existed from 1901 to 1926 with jurisdiction to determine industrial disputes, and to make awards	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q5589125	Icelandic government agency	state controlled organisations who act independently to carry out the policies of the Icelandic government	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q5133821	Clinical commissioning group	class of UK NHS bodies concerned with the local organisation of healthcare delivery	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q5073533	Chapter nine institutions	constitutionally-mandated government agencies established to guard democracy in South Africa	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q3336962	National Park Authority	UK authority that manages a national park	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q3754526	government administration	government or political organization	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q3591583	établissement public à caractère industriel et commercial	type of corporation in France and former colonies, usually state-owned	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q4135334	General Prosecutor's Office of the Republic of Kazakhstan	state Body of Kazakhstan	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q5532360	general lighthouse authority	Three agencies in the British Isles	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q5419928	Executive agencies of the Scottish Government	Scottish Government	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q652812	port authority	governmental or quasi-governmental public authority formed to operate ports and other transportation infrastructure	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q573607	revenue service	government agency responsible for the intake of government revenue, tax administration in some jurisdiction	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q612229	municipality of Estonia	lowest administrative division in Estonia	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q732717	law enforcement agency	government agency responsible for the enforcement of the laws	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q610237	special-purpose district of the United States	independent special-purpose governmental units, other than school districts	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q539809	motor vehicle registration agency	government agency that administers vehicle registration and driver licensing	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q698822	Coast Guard Administration, Ocean Affairs Council	coast guard of Taiwan	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q17505024	space agency	government agency engaged in activities related to outer space and space exploration	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q19713851	Delegation of the Government abroad (Catalonia)	Office that represents the Government of Catalonia around the world	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q17050251	etat	Norwegian state-, county- or municipal agency	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q11775750	public prosecutor's office	type of government organization	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q19604789	Lagos State Ministry of Education	Ministry in Lagos State, Nigeria	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q16965797	National Commission for UNESCO	national commission of Unesco	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q12813215	ministry of labour	type of ministry	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q16829741	Directorates of the Scottish Government	structure of the Scottish Government civil service	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q13138621	water board	water management authority	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q19406629	Civil–military administrations (Ukraine)	temporary local government units in Ukraine	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q17146103	royal household	residence and administrative headquarters of a monarchy	concept	politics	government agency	cultural representative
http://www.wikidata.org/entity/Q392918	agency of the European Union	public bodies of the community administration of the European Union	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q495430	general staff	group of the highest ranking military staff of a state, or the body in charge of military planning	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q523058	Prikaz	military government agencies in Tsardom of Russia, 16th-17th centuries	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q406633	Turnpike trusts	bodies set up by act of Parliament, with powers to collect road tolls for maintaining the principal highways during the 18th and 19th centuries	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q261362	employment agency	organization which matches employers to employees	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q213283	diplomatic mission	group of people from one state present in another state to represent the sending state	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q192350	ministry	type of top-level division of public administration	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q83116	province of Belgium	subdivision of Belgium	concept	politics	government agency	cultural exclusive
http://www.wikidata.org/entity/Q41487	court	judicial institution with the authority to resolve legal disputes	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q22806	national library	library specifically established by the government	concept	politics	government agency	cultural agnostic
http://www.wikidata.org/entity/Q11231	United States Department of Homeland Security	United States federal department	entity	politics	government agency	cultural exclusive
